"","Fold Change","log2(FC)"
"Glucose",5.8685,2.553
"Adipate",3.8715,1.9529
"Creatine",3.3961,1.7639
"Lactate",3.3101,1.7269
"cis-Aconitate",3.0093,1.5894
"3-Hydroxybutyrate",2.956,1.5637
"myo-Inositol",2.9028,1.5375
"Trigonelline",2.7519,1.4604
"Sucrose",2.6993,1.4326
"Succinate",2.6689,1.4162
"N,N-Dimethylglycine",2.5366,1.3429
"3-Aminoisobutyrate",2.5125,1.3291
"2-Aminobutyrate",2.4841,1.3127
"O-Acetylcarnitine",2.4122,1.2703
"Acetate",2.4051,1.2661
"Fumarate",2.3994,1.2627
"Leucine",2.306,1.2054
"Xylose",2.2879,1.194
"Pyroglutamate",2.2665,1.1804
"Valine",2.2641,1.1789
"Glutamine",2.244,1.1661
"3-Hydroxyisovalerate",2.2421,1.1649
"Formate",2.2201,1.1506
"Alanine",2.2058,1.1413
"Dimethylamine",2.1735,1.12
"2-Oxoglutarate",2.1412,1.0984
"Pyruvate",2.1379,1.0962
"Quinolinate",2.1297,1.0906
"Trimethylamine N-oxide",2.1106,1.0777
"Hippurate",2.1079,1.0758
"Taurine",2.0458,1.0327
"Histidine",2.0182,1.0131
"Serine",2.0107,1.0077
"Betaine",2.0056,1.004
